Linha;Viagens Programadas;Tipo Linha;Tipo Dia;Tipo de Programação;Faixa
444;0;Serviço;Facultativo;100% SMTR;15-18
460;24;Linha;Facultativo;100% SMTR;15-18
463;26;Linha;Facultativo;100% SMTR;15-18
472;2;Linha;Facultativo;100% SMTR;15-18
538;13;Linha;Facultativo;100% SMTR;15-18
553;3;Linha;Facultativo;100% SMTR;15-18
955;0;Serviço;Facultativo;100% SMTR;15-18
957;0;Serviço;Facultativo;100% SMTR;15-18
222;3;Linha;Facultativo;100% SMTR;15-18
585;2;Linha;Facultativo;100% SMTR;15-18
SN309;0;Linha;Facultativo;100% SMTR;15-18
SN538;0;Linha;Facultativo;100% SMTR;15-18
SP309;0;Serviço;Facultativo;100% SMTR;15-18
SP315;0;Serviço;Facultativo;100% SMTR;15-18
SP553;0;Serviço;Facultativo;100% SMTR;15-18
SV112;16;Linha;Facultativo;100% SMTR;15-18
100;14;Linha;Facultativo;100% SMTR;18-21
105;1;Linha;Facultativo;100% SMTR;18-21
108;22;Linha;Facultativo;100% SMTR;18-21
110;23;Linha;Facultativo;100% SMTR;18-21
112;20;Linha;Facultativo;100% SMTR;18-21
163;14;Linha;Facultativo;100% SMTR;18-21
LECD110;3;Linha;Facultativo;100% SMTR;18-21
181;0;Serviço;Facultativo;100% SMTR;18-21
309;38;Linha;Facultativo;100% SMTR;18-21
315;21;Linha;Facultativo;100% SMTR;18-21
440;0;Serviço;Facultativo;100% SMTR;18-21
443;0;Serviço;Facultativo;100% SMTR;18-21
444;0;Serviço;Facultativo;100% SMTR;18-21
460;23;Linha;Facultativo;100% SMTR;18-21
463;22;Linha;Facultativo;100% SMTR;18-21
472;2;Linha;Facultativo;100% SMTR;18-21
538;12;Linha;Facultativo;100% SMTR;18-21
553;3;Linha;Facultativo;100% SMTR;18-21
955;0;Serviço;Facultativo;100% SMTR;18-21
957;0;Serviço;Facultativo;100% SMTR;18-21
222;3;Linha;Facultativo;100% SMTR;18-21
585;2;Linha;Facultativo;100% SMTR;18-21
SN309;3;Linha;Facultativo;100% SMTR;18-21
SN538;0;Linha;Facultativo;100% SMTR;18-21
SP309;0;Serviço;Facultativo;100% SMTR;18-21
SP315;0;Serviço;Facultativo;100% SMTR;18-21
SP553;0;Serviço;Facultativo;100% SMTR;18-21
SV112;19;Linha;Facultativo;100% SMTR;18-21
100;3;Linha;Facultativo;100% SMTR;21-00
105;0;Linha;Facultativo;100% SMTR;21-00
108;7;Linha;Facultativo;100% SMTR;21-00
110;3;Linha;Facultativo;100% SMTR;21-00
112;4;Linha;Facultativo;100% SMTR;21-00
163;6;Linha;Facultativo;100% SMTR;21-00
LECD110;1;Linha;Facultativo;100% SMTR;21-00
181;0;Serviço;Facultativo;100% SMTR;21-00
309;7;Linha;Facultativo;100% SMTR;21-00
315;11;Linha;Facultativo;100% SMTR;21-00
440;0;Serviço;Facultativo;100% SMTR;21-00
443;0;Serviço;Facultativo;100% SMTR;21-00
444;0;Serviço;Facultativo;100% SMTR;21-00
460;4;Linha;Facultativo;100% SMTR;21-00
463;0;Linha;Facultativo;100% SMTR;21-00
472;1;Linha;Facultativo;100% SMTR;21-00
538;5;Linha;Facultativo;100% SMTR;21-00
553;2;Linha;Facultativo;100% SMTR;21-00
955;0;Serviço;Facultativo;100% SMTR;21-00
957;0;Serviço;Facultativo;100% SMTR;21-00
222;1;Linha;Facultativo;100% SMTR;21-00
585;2;Linha;Facultativo;100% SMTR;21-00
SN309;21;Linha;Facultativo;100% SMTR;21-00
SN538;5;Linha;Facultativo;100% SMTR;21-00
SP309;0;Serviço;Facultativo;100% SMTR;21-00
SP315;0;Serviço;Facultativo;100% SMTR;21-00
SP553;0;Serviço;Facultativo;100% SMTR;21-00
SV112;4;Linha;Facultativo;100% SMTR;21-00
